From_top,To_top,Processnumbersfromtop,Processnumberstotop,From_bottom,To_bottom,Processnumbersfrombottom,Processnumberstobottom,ratio
#Semisto_ECA,Manuf_ECA,13,39 skip cos one flow

SheetAndPlate,Manuf_EOT,9,40,Semisto_EOT,Manuf_EOT,9-12-13-14,40,0.33
Extrusion,Manuf_EOT,12,40,Semisto_EOT,Manuf_EOT,9-12-13-14,40,0.25
WireAndCable,Manuf_EOT,13,40,Semisto_EOT,Manuf_EOT,9-12-13-14,40,0.22
ShapeCasting,Manuf_EOT,14,40,Semisto_EOT,Manuf_EOT,9-12-13-14,40,0.21

SheetAndPlate,Manuf_CD,9,41,Semisto_CD,Manuf_CD,9-10-12-14,41,0.45
Foil,Manuf_CD,10,41,Semisto_CD,Manuf_CD,9-10-12-14,41,0.19
Extrusion,Manuf_CD,12,41,Semisto_CD,Manuf_CD,9-10-12-14,41,0.17
ShapeCasting,Manuf_CD,14,41,Semisto_CD,Manuf_CD,9-10-12-14,41,0.18

SheetAndPlate,Manuf_OTN,9,42,Semisto_OTN,Manuf_OTN,9-12-14-16,42,0.17
Extrusion,Manuf_OTN,12,42,Semisto_OTN,Manuf_OTN,9-12-14-16,42,0.18
ShapeCasting,Manuf_OTN,14,42,Semisto_OTN,Manuf_OTN,9-12-14-16,42,0.16
PowderAndPaste,Manuf_OTN,16,42,Semisto_OTN,Manuf_OTN,9-12-14-16,42,0.49

#Semisto_OTD,Manuf_OTD,15,43 skip cos one flow
